subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
rbd22,493,rms,phasic,34310.0,34325.0,15.0,3260.0,31050.0,31065.0,31050.0,31065.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd22,493,tkeo,phasic,34310.0,34325.0,15.0,3260.0,31050.0,31065.0,31050.0,31065.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd22,494,rms,phasic,34328.0,34346.0,18.0,3260.0,31068.0,31086.0,31068.0,31086.0,18.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd22,494,tkeo,phasic,34328.0,34346.0,18.0,3260.0,31068.0,31086.0,31068.0,31086.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd22,495,rms,phasic,34349.0,34376.0,27.0,3260.0,31089.0,31116.0,31089.0,31116.0,27.0,False,False,3,2,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
rbd22,495,tkeo,phasic,34349.0,34376.0,27.0,3260.0,31089.0,31116.0,31089.0,31116.0,27.0,False,False,2,1,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
rbd22,496,rms,phasic,34376.0,34397.0,21.0,3260.0,31116.0,31137.0,31116.0,31137.0,21.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd22,496,tkeo,phasic,34376.0,34397.0,21.0,3260.0,31116.0,31137.0,31116.0,31137.0,21.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd22,497,rms,phasic,34427.0,34442.0,15.0,3260.0,31167.0,31182.0,31167.0,31182.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd22,497,tkeo,phasic,34427.0,34442.0,15.0,3260.0,31167.0,31182.0,31167.0,31182.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd22,498,rms,phasic,34460.0,34505.0,45.0,3260.0,31200.0,31245.0,31200.0,31245.0,45.0,False,False,5,3,0,2,any|phasic,same_type_detected,True,True,False,False,False
rbd22,498,tkeo,phasic,34460.0,34505.0,45.0,3260.0,31200.0,31245.0,31200.0,31245.0,45.0,False,False,4,2,0,2,any|phasic,same_type_detected,True,True,False,False,False
rbd22,499,rms,phasic,34514.0,34544.0,30.0,3260.0,31254.0,31284.0,31254.0,31284.0,30.0,False,False,3,1,0,2,any|phasic,same_type_detected,True,True,False,False,False
rbd22,499,tkeo,phasic,34514.0,34544.0,30.0,3260.0,31254.0,31284.0,31254.0,31284.0,30.0,False,False,2,0,0,2,any,only_ambiguous,False,True,False,True,False
rbd22,500,rms,phasic,34604.0,34661.0,57.0,3260.0,31344.0,31401.0,31344.0,31401.0,57.0,False,False,8,5,1,2,any|phasic|tonic,same_type_detected,True,True,False,False,False
rbd22,500,tkeo,phasic,34604.0,34661.0,57.0,3260.0,31344.0,31401.0,31344.0,31401.0,57.0,False,False,4,1,2,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
